Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
i080-103.stp,2684.0,2684.0,2684.0,231.04,253.561,244.028,4.25,4.21,4.22,10
i080-104.stp,2565.0,2565.0,2565.0,146.468,147.835,147.075,0.5,0.0,0.2,10
i080-105.stp,2203.0,2203.0,2203.0,66.055,66.644,66.307,0.0,0.0,0.0,10
i080-111.stp,1777.0,1777.0,1777.0,111.784,114.042,112.413,0.0,0.0,0.0,10
i080-112.stp,1678.0,1678.0,1678.0,132.455,135.982,133.595,0.0,0.0,0.0,10
i080-113.stp,1682.0,1682.0,1682.0,127.907,128.759,128.204,0.0,0.0,0.0,10
i080-114.stp,1676.0,1676.0,1676.0,116.513,117.235,116.88,0.0,0.0,0.0,10
i080-115.stp,1685.0,1685.0,1685.0,148.207,149.597,148.726,0.0,0.0,0.0,10
i080-121.stp,1198.0,1198.0,1198.0,130.343,130.944,130.604,0.0,0.0,0.0,10
i080-122.stp,1199.0,1199.0,1199.0,146.107,147.458,146.744,0.0,0.0,0.0,10
i080-123.stp,1206.0,1206.0,1206.0,145.863,146.712,146.289,0.0,0.0,0.0,10
i080-124.stp,1174.0,1174.0,1174.0,158.265,159.228,158.89,0.0,0.0,0.0,10
i080-125.stp,1194.0,1194.0,1194.0,144.023,145.115,144.45,0.0,0.0,0.0,10
i080-131.stp,2065.0,2065.0,2065.0,96.355,96.954,96.621,0.0,0.0,0.0,10
i080-132.stp,1686.0,1686.0,1686.0,71.043,72.05,71.376,0.0,0.0,0.0,10
i080-133.stp,2260.0,2260.0,2260.0,168.751,170.766,169.555,0.0,0.0,0.0,10
i080-134.stp,2067.0,2067.0,2067.0,133.517,135.009,133.986,0.0,0.0,0.0,10
i080-135.stp,1971.0,1971.0,1971.0,222.93,225.895,224.588,11.77,11.77,11.77,10
i080-141.stp,1582.0,1582.0,1582.0,187.983,188.693,188.214,0.0,0.0,0.0,10
i080-142.stp,1570.0,1570.0,1570.0,134.45,135.259,134.816,0.0,0.0,0.0,10
i080-143.stp,1479.0,1479.0,1479.0,137.869,138.35,138.038,0.0,0.0,0.0,10
i080-144.stp,1584.0,1584.0,1584.0,161.376,162.089,161.792,0.0,0.0,0.0,10
i080-145.stp,1572.0,1572.0,1572.0,127.51,128.21,127.786,0.0,0.0,0.0,10
i080-201.stp,4567.0,4567.0,4567.0,448.931,475.865,462.217,4.16,0.0,2.87,10
i080-202.stp,4305.0,4305.0,4305.0,288.86,294.883,290.528,0.0,0.0,0.0,10
i080-203.stp,4684.0,4684.0,4684.0,468.682,512.605,489.754,2.66,2.4,2.49,10
i080-204.stp,4465.0,4465.0,4465.0,504.309,518.867,512.832,3.9,1.82,3.48,10
